experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,5,84,225,250,30,1,05,0,4,1,0,446.96486156702247,96077.25889424435,26525.455468985845,19.6,7.3444083810147838,7.7674808337968457
sltg_exp1,5,84,225,250,30,1,05,0,4,1,1,307.1636376550774,96077.25889424435,48370.833049602465,17.0,7.3444083810147838,8.9186532213920451
sltg_exp1,5,84,225,250,30,1,05,0,4,1,2,346.4732976486967,96077.25889424435,61339.209718697544,19.8,7.3444083810147838,11.494600921308058
sltg_exp1,5,84,225,250,30,1,05,0,4,1,3,574.1335883644833,96077.25889424435,36943.49134960485,14.4,7.3444083810147838,8.4386793708381589
sltg_exp1,5,84,225,250,30,1,05,0,4,1,4,521.0869790828292,96077.25889424435,34579.27224762647,18.0,7.3444083810147838,9.9286570739711308
sltg_exp1,5,84,225,250,30,1,05,0,4,1,5,455.23079071956147,96077.25889424435,35903.76075897261,19.8,7.3444083810147838,10.84669505659644
sltg_exp1,5,84,225,250,30,1,05,0,4,2,0,69.96294895262028,5011.818501967006,16479.90410002425,21.6,0.51987156097376297,5.7031140795254691
sltg_exp1,5,84,225,250,30,1,05,0,4,2,1,72.46412476546507,5011.818501967006,16996.84336958231,21.6,0.51987156097376297,5.5794991403885339
sltg_exp1,5,84,225,250,30,1,05,0,4,2,2,15.575100989280068,5011.818501967006,7225.3611925194355,18.4,0.51987156097376297,3.1550089750511101
sltg_exp1,5,84,225,250,30,1,05,0,4,2,3,70.94417301557641,5011.818501967006,16687.11506427512,21.6,0.51987156097376297,5.4876045643682536
sltg_exp1,5,84,225,250,30,1,05,0,4,2,4,70.94417301557641,5011.818501967006,16687.11506427512,21.6,0.51987156097376297,5.4876045643682536
sltg_exp1,5,84,225,250,30,1,05,0,4,2,5,16.91938357921789,5011.818501967006,7344.290887079527,18.2,0.51987156097376297,3.1560644211399564
sltg_exp1,5,84,225,250,30,1,05,0,4,3,0,324.9752996224047,103834.98140745451,62358.932054926125,24.4,8.8506120315678363,14.848035021204986
sltg_exp1,5,84,225,250,30,1,05,0,4,3,1,386.2471396782655,103834.98140745451,46379.94149430032,20.8,8.8506120315678363,12.429392419517834
sltg_exp1,5,84,225,250,30,1,05,0,4,3,2,279.8434995786214,103834.98140745451,58697.417591830745,25.2,8.8506120315678363,10.20434636844792
sltg_exp1,5,84,225,250,30,1,05,0,4,3,3,406.4663874593774,103834.98140745451,49796.96676990507,25.4,8.8506120315678363,9.9074515578872298
sltg_exp1,5,84,225,250,30,1,05,0,4,3,4,264.92957513028273,103834.98140745451,60265.05806945333,26.2,8.8506120315678363,9.107096171682393
sltg_exp1,5,84,225,250,30,1,05,0,4,3,5,346.4256782490121,103834.98140745451,55719.68810655515,23.2,8.8506120315678363,16.013011114194317
sltg_exp1,5,84,225,250,30,1,05,0,4,4,0,360.3004264294571,90106.10029559051,74919.71306680945,28.2,6.4094512838180782,9.8261172069683447
sltg_exp1,5,84,225,250,30,1,05,0,4,4,1,231.11331671464328,90106.10029559051,68199.38760926014,31.4,6.4094512838180782,6.1132546230439138
sltg_exp1,5,84,225,250,30,1,05,0,4,4,2,405.0650081228295,90106.10029559051,24131.6949932178,13.2,6.4094512838180782,7.9382180697212492
sltg_exp1,5,84,225,250,30,1,05,0,4,4,3,579.8453392364909,90106.10029559051,61333.02661935065,18.6,6.4094512838180782,8.4989912033089485
sltg_exp1,5,84,225,250,30,1,05,0,4,4,4,397.86881613369604,90106.10029559051,83594.79740679057,29.2,6.4094512838180782,8.4910583888204574
sltg_exp1,5,84,225,250,30,1,05,0,4,4,5,105.95518180808214,90106.10029559051,73345.0700080511,37.2,6.4094512838180782,3.7738470780766251
sltg_exp1,5,84,225,250,30,1,05,0,4,5,0,275.68228407650116,72249.61242333507,12491.672853381815,10.0,8.4835692200876238,6.1218147347219283
sltg_exp1,5,84,225,250,30,1,05,0,4,5,1,253.2005253676453,72249.61242333507,18078.45956060539,13.2,8.4835692200876238,7.2661872618494385
sltg_exp1,5,84,225,250,30,1,05,0,4,5,2,169.3175799636702,72249.61242333507,32042.40017672699,24.0,8.4835692200876238,7.6743528463302564
sltg_exp1,5,84,225,250,30,1,05,0,4,5,3,222.16439856740965,72249.61242333507,22835.397969647765,19.4,8.4835692200876238,7.3081179817634396
sltg_exp1,5,84,225,250,30,1,05,0,4,5,4,263.45176667487266,72249.61242333507,15689.611708141741,12.6,8.4835692200876238,6.5315820921006829
sltg_exp1,5,84,225,250,30,1,05,0,4,5,5,248.72464623933757,72249.61242333507,18795.942526716146,13.6,8.4835692200876238,7.350744636566974
